"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.526150580E-1,-8.470592499E0,-6.960721016E0,3.795016766E0,1.160192771E1
7.550199530E-1,-8.568697929E0,-6.996613503E0,3.888336897E0,1.172579842E1
7.574249010E-1,-8.633303642E0,-7.034898758E0,3.991228104E0,1.183020009E1
7.598298490E-1,-8.709874153E0,-7.042077065E0,4.082155228E0,1.192127294E1
7.622347970E-1,-8.760123253E0,-7.085147858E0,4.168296814E0,1.201306696E1
7.646396930E-1,-8.793622971E0,-7.109076023E0,4.254438877E0,1.208168105E1
7.670446410E-1,-8.812766075E0,-7.133004189E0,4.316651821E0,1.213169723E1
7.694495890E-1,-8.827122688E0,-7.142575741E0,4.338187218E0,1.215542478E1
7.718544850E-1,-8.834300995E0,-7.130611420E0,4.364508629E0,1.216303535E1
7.742594330E-1,-8.800801277E0,-7.092326164E0,4.381258488E0,1.212231906E1
