"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.666871030E-1,-4.472185612E0,2.189432621E0,7.116254330E0,8.685340237E0
5.690919470E-1,-4.584648132E0,2.055434704E0,7.221538544E0,8.797410372E0
5.714967910E-1,-4.654039860E0,1.964507341E0,7.073183537E0,8.691910115E0
5.739016350E-1,-4.723432064E0,1.916650891E0,6.891329288E0,8.571743140E0
5.763064780E-1,-4.807180882E0,1.902294040E0,6.733402729E0,8.489194482E0
5.787112700E-1,-4.874179840E0,1.892722726E0,6.520441532E0,8.358001328E0
5.811161140E-1,-4.941178799E0,1.844866276E0,6.276373863E0,8.198271060E0
5.835209580E-1,-4.972285271E0,1.804188251E0,6.104090691E0,8.077043965E0
5.859258010E-1,-4.969892502E0,1.753939033E0,5.950950146E0,7.949210102E0
5.883306450E-1,-4.936393261E0,1.727617979E0,5.759523869E0,7.779765903E0
5.907354890E-1,-4.895715237E0,1.679761529E0,5.563312531E0,7.598688886E0
5.931403330E-1,-4.847858906E0,1.648654819E0,5.412564754E0,7.450882894E0
5.955451760E-1,-4.800002098E0,1.639083505E0,5.297709465E0,7.334326176E0
5.979500200E-1,-4.759324074E0,1.639083505E0,5.213960648E0,7.247285423E0
6.003548640E-1,-4.728217602E0,1.629512191E0,5.170889854E0,7.193709304E0
6.027597080E-1,-4.694717884E0,1.624726534E0,5.149354458E0,7.155135474E0
6.051645510E-1,-4.687539577E0,1.612762451E0,5.125426292E0,7.130499610E0
6.075693950E-1,-4.666004181E0,1.607976794E0,5.106283665E0,7.101501056E0
6.099742390E-1,-4.632504463E0,1.622333765E0,5.091926575E0,7.072466379E0
6.123790300E-1,-4.610969067E0,1.610369682E0,5.087141037E0,7.052186198E0
6.147838740E-1,-4.613361835E0,1.591227055E0,5.070391178E0,7.037327452E0
6.171887180E-1,-4.625326157E0,1.572084427E0,5.067998409E0,7.039154735E0
6.195935620E-1,-4.651647091E0,1.581655741E0,5.101497650E0,7.082706673E0
6.219984050E-1,-4.701896667E0,1.574477315E0,5.111069202E0,7.121084151E0
6.244032490E-1,-4.771288395E0,1.574477315E0,5.113461971E0,7.168798023E0
6.268080930E-1,-4.838287354E0,1.552941918E0,5.137390137E0,7.225886142E0
6.292129370E-1,-4.931607246E0,1.529013634E0,5.161318302E0,7.300536921E0
6.316177800E-1,-5.008177757E0,1.505085468E0,5.161318302E0,7.347539270E0
6.340226240E-1,-5.060820103E0,1.485942841E0,5.151747227E0,7.372952307E0
6.364274680E-1,-5.113461971E0,1.442872047E0,5.154139996E0,7.402332887E0
6.388323120E-1,-5.175675392E0,1.416550994E0,5.111069202E0,7.410618117E0
6.412371550E-1,-5.228317261E0,1.423729420E0,5.072783947E0,7.422630518E0
6.436419470E-1,-5.307280540E0,1.430907965E0,5.012963295E0,7.439390119E0
6.460468430E-1,-5.381458282E0,1.414158225E0,4.922036171E0,7.428753381E0
6.484516350E-1,-5.460421085E0,1.411765337E0,4.790431023E0,7.399831699E0
6.508564780E-1,-5.544169903E0,1.392622828E0,4.627718925E0,7.354794403E0
6.532613220E-1,-5.615954876E0,1.361516118E0,4.457828522E0,7.298281334E0
6.556661660E-1,-5.687739372E0,1.323230863E0,4.302295208E0,7.253348409E0
6.580710100E-1,-5.742774487E0,1.239482164E0,4.149154663E0,7.192444595E0
6.604758530E-1,-5.757131100E0,1.170090318E0,3.986442566E0,7.099675639E0
6.628806970E-1,-5.785845280E0,1.086341500E0,3.866801500E0,7.043315789E0
6.652855410E-1,-5.778666496E0,9.810572863E-1,3.780659676E0,6.974872576E0
6.676903850E-1,-5.776273727E0,8.614161611E-1,3.725624800E0,6.927312331E0
6.700952280E-1,-5.745167255E0,7.178468108E-1,3.692125320E0,6.866879948E0
6.725000720E-1,-5.706882000E0,5.718846321E-1,3.704089403E0,6.827578817E0
6.749049160E-1,-5.702096462E0,4.211367965E-1,3.761517286E0,6.843995365E0
6.773097080E-1,-5.673382282E0,2.584248483E-1,3.852444410E0,6.862607220E0
6.797145510E-1,-5.661418438E0,1.124626622E-1,3.976871252E0,6.919523939E0
6.821193950E-1,-5.639883041E0,-3.110669367E-2,4.165904045E0,7.011704847E0
6.845242390E-1,-5.618347645E0,-1.507478207E-1,4.359723091E0,7.113068297E0
6.869290830E-1,-5.608776093E0,-2.608176768E-1,4.567898273E0,7.238238028E0
6.893339260E-1,-5.596812248E0,-3.589234054E-1,4.778466702E0,7.367962905E0
6.917387700E-1,-5.572884083E0,-4.594219327E-1,4.986642361E0,7.492309894E0
6.941436140E-1,-5.556134224E0,-5.264210105E-1,5.213960648E0,7.637612993E0
6.965484580E-1,-5.517848969E0,-5.862415433E-1,5.462814331E0,7.786698710E0
6.989533010E-1,-5.503491879E0,-6.245267391E-1,5.711667538E0,7.956230424E0
7.013581450E-1,-5.503491879E0,-6.436693072E-1,5.941378593E0,8.124205353E0
7.037629890E-1,-5.496313572E0,-6.556333899E-1,6.175875187E0,8.293416205E0
7.061678330E-1,-5.539384365E0,-6.484549642E-1,6.388836384E0,8.480713609E0
7.085726760E-1,-5.635097504E0,-6.484549642E-1,6.570691109E0,8.680368619E0
7.109774680E-1,-5.754738331E0,-6.125625968E-1,6.733402729E0,8.878679998E0
7.133823120E-1,-5.903093338E0,-5.790630579E-1,6.908079147E0,9.105129460E0
7.157871550E-1,-6.053841114E0,-5.670989752E-1,7.025327206E0,9.291168701E0
7.181919990E-1,-6.214160442E0,-5.623133183E-1,7.111468792E0,9.460706879E0
7.205968430E-1,-6.374479294E0,-5.623133183E-1,7.176074982E0,9.614896499E0
7.230016870E-1,-6.522834301E0,-5.814558864E-1,7.233502865E0,9.757511054E0
7.254065300E-1,-6.654439926E0,-6.197410822E-1,7.245467186E0,9.857101221E0
7.278113740E-1,-6.781259537E0,-6.795616150E-1,7.255038261E0,9.954037626E0
7.302162180E-1,-6.922435760E0,-7.633104324E-1,7.228717327E0,1.003778431E1
7.326210620E-1,-7.037291527E0,-8.542376757E-1,7.133004189E0,1.005648760E1
7.350259050E-1,-7.144968510E0,-9.786644578E-1,7.013363361E0,1.005960361E1
7.374307490E-1,-7.259823799E0,-1.129412293E0,6.845865726E0,1.004223537E1
7.398355930E-1,-7.357929707E0,-1.296909928E0,6.637690067E0,9.993999918E0
7.422404370E-1,-7.424928665E0,-1.469193101E0,6.398407936E0,9.910989767E0
7.446452800E-1,-7.506284714E0,-1.686939955E0,6.159125328E0,9.855196671E0
7.470500720E-1,-7.570890903E0,-1.890329838E0,5.910272121E0,9.788924993E0
7.494549160E-1,-7.637889862E0,-2.084148407E0,5.642275810E0,9.721950033E0
7.518597600E-1,-7.688138962E0,-2.299502611E0,5.364708424E0,9.652734816E0
7.542646030E-1,-7.745566845E0,-2.483749866E0,5.106283665E0,9.604007081E0
7.566694470E-1,-7.786244869E0,-2.675175667E0,4.864608288E0,9.562770927E0
7.590742910E-1,-7.867600918E0,-2.883351326E0,4.644468784E0,9.580394009E0
7.614791350E-1,-7.968099594E0,-3.113062143E0,4.455435753E0,9.645344722E0
7.638839780E-1,-8.044670105E0,-3.326023579E0,4.328616142E0,9.721937443E0
7.662888220E-1,-8.147561073E0,-3.517449379E0,4.261617184E0,9.844622014E0
7.686936660E-1,-8.233702660E0,-3.696911097E0,4.278367043E0,9.988264899E0
7.710985100E-1,-8.281558990E0,-3.859622955E0,4.362115860E0,1.012467103E1
7.735033530E-1,-8.307880402E0,-4.000799656E0,4.524827480E0,1.027138444E1
7.759081970E-1,-8.300702095E0,-4.101297855E0,4.728217602E0,1.039607335E1
7.783130410E-1,-8.274380684E0,-4.170690060E0,4.986642361E0,1.052267235E1
7.807178850E-1,-8.248059273E0,-4.189832687E0,5.261816978E0,1.064292712E1
7.831227280E-1,-8.228917122E0,-4.204189301E0,5.546562672E0,1.077750630E1
7.855275720E-1,-8.236095428E0,-4.185046673E0,5.828916073E0,1.092355923E1
7.879323640E-1,-8.221738815E0,-4.161118507E0,6.106483459E0,1.105445777E1
7.903372080E-1,-8.149953842E0,-4.141975880E0,6.448657036E0,1.118762215E1
