"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.917119850E0,3.527020693E0,1.219083309E1,6.179464459E-1
6.936359954E0,1.215553880E0,1.049192905E1,2.869592667E0
6.955599954E0,-1.469791293E0,8.907281876E0,6.695117950E0
6.974840058E0,-3.723830223E0,7.272386074E0,9.839286804E0
6.994080058E0,-6.445067883E0,5.703292847E0,1.233021545E1
7.013320162E0,-7.831110477E0,4.167698860E0,1.385085392E1
7.032560162E0,-6.945765972E0,1.897508383E0,1.453579903E1
7.051800266E0,-6.529414654E0,-9.930214286E-2,1.491087437E1
7.071040266E0,-7.155138016E0,-7.591229677E-1,1.504487228E1
7.090280370E0,-6.135197163E0,1.138983607E0,1.721695709E1
7.109520370E0,-3.802793503E0,4.345963955E0,1.983709717E1
7.128760370E0,4.326821327E0,7.529614449E0,2.458326149E1
7.148000475E0,2.041556358E1,7.114459991E0,3.367419434E1
7.167240475E0,3.599583054E1,5.771488190E0,3.745006561E1
7.186480579E0,4.405066681E1,6.860820770E0,2.929652405E1
7.205720579E0,4.078326797E1,5.890531063E0,1.625922966E1
7.224960683E0,3.392842865E1,4.140181541E0,9.123832703E0
7.244200683E0,2.785185814E1,2.169692039E0,6.367300987E0
7.263440787E0,2.263071823E1,-1.088734269E-1,3.745963812E0
7.282680787E0,1.751905060E1,-2.454437733E0,9.511470199E-1
7.301920891E0,1.368574905E1,-4.153341770E0,-1.028315544E0
7.321160891E0,1.141436195E1,-5.812764645E0,-2.473580360E0
7.340400891E0,9.929018021E0,-7.949554920E0,-3.641277790E0
7.359640995E0,8.175676346E0,-8.810373306E0,-5.871388435E0
7.378880995E0,6.334998131E0,-8.099704742E0,-8.931808472E0
7.398121100E0,4.022933006E0,-6.899703979E0,-1.154716396E1
7.417361100E0,2.616551638E0,-6.377470493E0,-1.271545982E1
7.436601204E0,2.879761934E0,-6.200401783E0,-1.322393417E1
7.455841204E0,2.458027124E0,-4.953741074E0,-1.327777290E1
7.475081204E0,2.632703066E0,-3.747160196E0,-1.114098263E1
7.494321308E0,7.858029366E0,-1.050449133E0,-1.706680775E0
7.513561308E0,2.072244263E1,5.367101192E0,1.749811363E1
7.532801412E0,2.959383202E1,1.504905987E1,3.321955490E1
7.552041412E0,2.786441994E1,2.169392776E1,2.783391190E1
7.571281516E0,2.195833588E1,2.194517517E1,1.396570969E1
