"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.299831777E0,-9.987639189E-1,-3.821570158E0,-3.652207851E-1
5.319071881E0,-2.622137070E0,-4.342790604E0,-4.008036554E-1
5.338311881E0,-4.026668072E0,-4.627148151E0,-4.686096311E-1
5.357551985E0,-4.672351837E0,-4.077675343E0,-8.902590871E-1
5.376792089E0,-4.034914494E0,-2.851669550E0,-1.380172610E0
5.396032089E0,-2.699564219E0,-2.074038744E0,-1.652618289E0
5.415272193E0,-1.581834316E0,-2.424980402E0,-1.533194184E0
5.434512297E0,-1.014340997E0,-3.397477150E0,-1.489211917E0
5.453752297E0,-7.985529900E-1,-3.752084255E0,-1.436677575E0
5.472992402E0,-8.145881891E-1,-3.166264772E0,-1.333899617E0
5.492232506E0,-1.056643367E0,-1.965915561E0,-1.343826175E0
5.511472506E0,-1.483026981E0,-9.285144806E-1,-1.348254919E0
5.530712610E0,-1.881158113E0,-3.061959743E-1,-1.481728911E0
5.549952714E0,-1.976911187E0,5.300779343E-1,-1.691713691E0
5.569192714E0,-1.435379505E0,1.883296132E0,-1.782427073E0
5.588432818E0,-3.358229101E-1,3.101055145E0,-1.549534917E0
5.607672922E0,9.468404055E-1,3.487579823E0,-8.864411712E-1
5.626912922E0,2.171318769E0,3.301418781E0,-2.372446060E-1
5.646153027E0,3.371057272E0,2.725525856E0,-8.300124854E-2
5.665393027E0,4.569726467E0,2.629467487E0,-3.442986608E-1
5.684633131E0,5.171123028E0,2.032499790E0,-5.658898354E-1
5.703873235E0,4.766577721E0,8.242093325E-1,-8.264237046E-1
5.723113235E0,4.032318592E0,1.479056358E0,-9.418771267E-1
5.742353339E0,2.693913698E0,3.284772635E0,-9.501237869E-1
5.761593443E0,1.530063510E0,4.139525414E0,-5.353466272E-1
5.780833443E0,1.039691806E0,3.558439970E0,7.231111825E-2
5.800073547E0,9.520327449E-1,2.626413107E0,4.382191300E-1
5.819313652E0,1.002276421E0,1.953087449E0,6.471349001E-1
5.838553652E0,6.264418364E-1,1.665064692E0,8.343649507E-1
5.857793756E0,-2.009745091E-1,2.103665590E0,1.207297921E0
5.877033756E0,-8.683443069E-1,2.238208532E0,1.761046767E0
5.896273860E0,-1.128267288E0,1.206305265E0,1.876347542E0
5.915513964E0,-1.021213174E0,-5.287034512E-1,1.621464252E0
5.934753964E0,-8.478803039E-1,-2.261421442E0,1.379867196E0
5.953994068E0,-7.918334603E-1,-3.646557331E0,1.206686974E0
5.973234068E0,-7.504473925E-1,-4.496575832E0,9.902881384E-1
5.992474172E0,-7.973312736E-1,-4.310109138E0,5.793288946E-1
6.011714277E0,-2.395811558E0,-4.651124477E0,5.758163929E-1
6.030954277E0,-4.435794830E0,-5.038412571E0,8.743765950E-1
6.050194381E0,-5.676460743E0,-5.265959740E0,6.281980872E-1
6.069434381E0,-5.597353935E0,-4.254673004E0,-1.369100660E-1
6.088674485E0,-4.083783627E0,-2.516915560E0,-1.017929792E0
6.107914589E0,-1.883754253E0,-1.957363486E0,-1.409341455E0
6.127154589E0,2.764163166E-2,-2.903745651E0,-1.282281518E0
6.146394693E0,1.014646411E0,-3.706269264E0,-1.049847484E0
6.165634693E0,1.050382018E0,-3.319744587E0,-7.974076271E-1
6.184874797E0,1.754709035E-1,-2.193615437E0,-6.323214173E-1
6.204114902E0,-8.872811198E-1,-1.165682673E0,-5.774962902E-1
6.223354902E0,-1.384830475E0,-5.734493136E-1,-4.731911421E-1
6.242595006E0,-1.180496216E0,-4.153880477E-2,-3.282634616E-1
6.261835006E0,-5.105302334E-1,6.801979542E-1,-2.885572612E-1
6.281075110E0,2.686277926E-1,1.547778606E0,-3.870591819E-1
6.300315110E0,9.695951343E-1,2.754694700E0,-4.851029813E-1
6.319555214E0,1.492953539E0,4.241081238E0,-3.578903973E-1
6.338795318E0,2.081521749E0,4.683958530E0,6.795870606E-3
6.358035318E0,2.935816050E0,3.941757679E0,1.515708268E-1
6.377275422E0,3.509723663E0,2.481790781E0,-2.084576152E-2
6.396515422E0,3.297448158E0,-5.986474827E-2,-6.874519587E-1
6.415755527E0,2.525620461E0,-1.045036912E0,-1.992411852E0
6.434995527E0,1.547778606E0,5.703949928E-1,-2.145738840E0
6.454235631E0,7.925970554E-1,2.936732531E0,-1.298469424E0
6.473475631E0,9.514219165E-1,3.943437576E0,-6.425533891E-1
6.492715735E0,1.454621792E0,3.698480844E0,-6.310997009E-1
6.511955735E0,2.184299707E0,3.559203625E0,-4.994583130E-1
6.531195839E0,2.679863691E0,3.355022192E0,-1.717293561E-1
6.550435943E0,2.703687429E0,2.912450552E0,-1.931859925E-2
6.569675943E0,2.395353556E0,2.344957113E0,5.963567272E-2
6.588916047E0,1.820835233E0,1.829692721E0,9.980003536E-2
6.608156047E0,1.131168842E0,1.418122530E0,2.192240953E-1
6.627396152E0,8.300125003E-1,1.183245063E0,3.354411125E-1
6.646636152E0,8.567378521E-1,8.428406715E-1,3.534616232E-1
6.665876256E0,7.643445730E-1,2.241873741E-1,2.725220621E-1
6.685116256E0,4.725039005E-1,-5.619956255E-1,2.448804229E-1
6.704356360E0,1.262962967E-1,-8.900299668E-1,7.037925720E-1
6.723596360E0,-1.109635830E0,-2.119853497E0,1.928118348E0
6.742836464E0,-3.880823851E0,-4.275442600E0,3.022024393E0
6.762076464E0,-6.094903469E0,-5.791914463E0,4.346226692E0
6.781316568E0,-6.199208736E0,-5.300473690E0,4.455418587E0
6.800556568E0,-4.365850449E0,-2.320827961E0,3.133201838E0
6.819796672E0,-1.981492639E0,-9.335541129E-1,2.459418058E0
6.839036672E0,6.093376130E-2,-1.671784163E0,1.773111343E0
6.858276777E0,1.419344306E0,-1.880089045E0,7.128028274E-1
6.877516777E0,1.862526655E0,-1.661704898E0,1.503490955E-1
6.896756881E0,1.333212376E0,-1.373987556E0,-8.636100590E-2
