"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.596845635E0,-7.788637877E-1,8.550153732E0,6.365506649E0
4.616084698E0,-8.715856671E-1,8.748159409E0,6.209374905E0
4.635323760E0,-8.973084688E-1,8.916254997E0,6.192026615E0
4.654562823E0,-9.290133715E-1,9.095717430E0,6.220740795E0
4.673801885E0,-8.871390224E-1,9.349356651E0,6.360122681E0
4.693040948E0,-9.559326172E-1,9.772287369E0,6.690930367E0
4.712280010E0,-9.170492887E-1,1.008634567E1,6.330212116E0
4.731519073E0,-8.141579032E-1,9.740582466E0,5.663811207E0
4.750758135E0,-4.438686073E-1,8.736793518E0,5.950950146E0
4.769997094E0,1.316052489E-2,7.440482140E0,7.009175777E0
4.789236156E0,2.835494876E-1,6.711269379E0,7.837690353E0
4.808475219E0,2.183450609E-1,6.615556240E0,7.897511005E0
4.827714281E0,-3.332005441E-1,6.973881721E0,7.130611420E0
4.846953344E0,-7.692924738E-1,7.231708050E0,6.139384747E0
4.866192406E0,-5.946164131E-1,7.297510624E0,5.776872158E0
4.885431469E0,-8.913264424E-2,7.245467186E0,5.649454117E0
4.904670531E0,3.942175210E-1,7.167101860E0,5.787639618E0
4.923909594E0,5.988038778E-1,7.116852760E0,5.906682491E0
4.943148656E0,4.504488707E-1,6.963113785E0,6.072983742E0
4.962387719E0,3.296113312E-1,6.824928284E0,6.080760479E0
4.981626781E0,1.866401732E-1,6.850651264E0,5.845665932E0
5.000865844E0,-1.800599098E-1,6.846463680E0,5.487340450E0
5.020104906E0,-5.922235847E-1,6.956533432E0,5.211567879E0
5.039343969E0,-8.249256015E-1,7.070192814E0,5.255236626E0
5.058583031E0,-7.274180651E-1,7.318448067E0,5.327021599E0
5.077822094E0,-4.510470629E-1,7.591229916E0,5.219344616E0
5.097061156E0,-3.343969584E-1,7.824530125E0,4.952544689E0
5.116300219E0,-2.512463741E-2,7.805985451E0,4.994419098E0
5.135539281E0,2.195414752E-1,7.811967850E0,5.401198864E0
5.154778344E0,1.286142170E-1,7.909475327E0,5.694917679E0
5.174017406E0,-2.380858511E-1,8.114660263E0,5.669195175E0
5.193256469E0,-3.978067636E-1,8.400602341E0,5.677569866E0
5.212495531E0,-6.065805554E-1,8.567501068E0,6.000002861E0
5.231734490E0,-7.363911867E-1,8.628518105E0,6.363113403E0
5.250973552E0,-5.066801906E-1,8.644071579E0,6.799205780E0
5.270212615E0,-1.890329868E-1,8.796015739E0,7.171887875E0
5.289451677E0,-2.249253243E-1,9.428917885E0,6.958926678E0
5.308690740E0,-4.899304509E-1,9.754940033E0,5.906084538E0
5.327929802E0,-5.976074338E-1,9.259625435E0,5.969494343E0
5.347168865E0,-3.870390654E-1,8.484949112E0,6.693921566E0
5.366407927E0,-3.948157281E-2,7.822137356E0,7.077969551E0
5.385646990E0,-1.950150430E-1,7.348956585E0,7.676175117E0
5.404886052E0,-6.969096065E-1,7.213163853E0,7.602595806E0
5.424125115E0,-1.096511006E0,7.308876991E0,6.973881721E0
5.443364177E0,-1.194616675E0,7.354340553E0,6.303891182E0
5.462603240E0,-1.000798106E0,7.176673412E0,5.962913990E0
5.481842302E0,-5.162515044E-1,6.931408882E0,5.851049423E0
5.501081365E0,7.836493850E-2,6.646064758E0,5.928217888E0
5.520320427E0,4.707878530E-1,6.240481377E0,6.138188362E0
5.539559490E0,4.145565331E-1,6.018547058E0,6.212365627E0
5.558798552E0,1.842473447E-1,6.079564095E0,5.938985825E0
5.578037615E0,-1.770688742E-1,6.280561447E0,5.608178139E0
5.597276677E0,-4.719842672E-1,6.491129398E0,5.408377171E0
5.616515740E0,-5.126622319E-1,6.750152588E0,5.501099110E0
5.635754802E0,-2.811566591E-1,7.012166977E0,5.532804012E0
5.654993865E0,-9.511470050E-2,7.347760201E0,5.456233978E0
5.674232927E0,6.221338734E-2,7.605587006E0,5.349753380E0
5.693471990E0,2.117647976E-1,7.706085205E0,5.488536835E0
5.712711052E0,3.517449200E-1,7.701299667E0,6.154339790E0
5.731950115E0,6.000002623E-1,7.640881062E0,7.068996429E0
5.751189177E0,7.836494446E-1,7.826324463E0,7.652844906E0
5.770428240E0,6.562315822E-1,8.154739380E0,7.366902828E0
5.789667302E0,3.290131092E-1,8.576474190E0,6.695715904E0
5.808906365E0,1.710868180E-1,9.025128365E0,6.062814236E0
5.828145427E0,1.064806059E-1,9.320044518E0,5.618347645E0
5.847384490E0,2.434697002E-1,9.352347374E0,5.913861275E0
5.866623552E0,6.484549642E-1,9.163912773E0,7.228717327E0
5.885862615E0,1.198205948E0,8.848658562E0,8.401798248E0
5.905101677E0,1.586441398E0,8.502297401E0,8.041678429E0
5.924340740E0,1.048056364E0,8.374878883E0,6.775875568E0
5.943579802E0,5.036891699E-1,8.101499557E0,6.156732559E0
5.962818865E0,5.820540786E-1,7.730013371E0,6.600003242E0
5.982057927E0,9.972088337E-1,7.226922512E0,7.353742123E0
6.001296990E0,1.105484009E0,6.844669342E0,7.709674358E0
6.020536052E0,6.723831892E-1,6.738786697E0,7.229913712E0
6.039775115E0,9.930214286E-2,6.618547440E0,6.368497372E0
6.059014177E0,-1.555334777E-1,6.540182590E0,6.034100533E0
6.078253240E0,-1.483550072E-1,6.559923172E0,5.911468506E0
6.097492302E0,-8.614161611E-2,6.637091637E0,5.863611698E0
6.116731365E0,5.982056609E-4,6.695117950E0,5.681159019E0
6.135970427E0,4.247260094E-2,6.720840454E0,5.431109428E0
6.155209490E0,-1.411765367E-1,6.654439926E0,5.201996326E0
6.174448552E0,-2.781656384E-1,6.619145870E0,5.250451088E0
6.193687615E0,-4.061816335E-1,6.626922131E0,5.456831932E0
6.212926677E0,-7.489534616E-1,6.740581512E0,5.526822090E0
6.232165740E0,-9.146564603E-1,6.859624386E0,5.515456200E0
6.251404802E0,-6.209374666E-1,7.081558704E0,5.592624664E0
6.270643865E0,-3.834498227E-1,7.301100254E0,5.776273727E0
6.289882927E0,-3.236292601E-1,7.598408222E0,5.642275810E0
6.309121990E0,-2.201396823E-1,7.903493404E0,5.341976643E0
6.328361052E0,-1.579262912E-1,8.160721779E0,5.116453171E0
6.347600115E0,-1.531406492E-1,8.389236450E0,5.116453171E0
6.366839177E0,-1.208375469E-1,8.672785759E0,5.283950806E0
6.386078240E0,-3.469592705E-2,8.914461136E0,5.628517151E0
6.405317302E0,-4.211367965E-1,9.023932457E0,5.804987907E0
6.424556365E0,-5.054838061E-1,9.019744873E0,6.093921185E0
6.443795427E0,-2.428714931E-1,8.961718559E0,6.917052269E0
6.463034490E0,-1.621137410E-1,9.177671432E0,7.745566845E0
6.482273552E0,-7.680960894E-1,1.003131104E1,7.132406235E0
6.501512615E0,-1.264008522E0,1.073659515E1,5.419145107E0
6.520751677E0,-1.456032634E0,1.038126087E1,5.587839127E0
6.539990740E0,-4.366901219E-1,9.014361382E0,6.728019238E0
6.559229802E0,7.513462901E-1,7.803592682E0,7.645068169E0
6.578468865E0,7.489534616E-1,7.168896675E0,7.564310551E0
6.597707927E0,-1.310070455E-1,6.890730858E0,7.250252724E0
6.616946990E0,-7.256234884E-1,6.889534473E0,6.627520561E0
6.636186052E0,-9.278169870E-1,6.963712215E0,5.971288681E0
6.655425115E0,-9.834501147E-1,6.954140663E0,5.621936798E0
6.674664177E0,-8.560323119E-1,6.849454880E0,5.440082073E0
6.693903240E0,-4.737788737E-1,6.778866768E0,5.341378212E0
6.713142302E0,5.204389244E-2,6.735795975E0,5.391029358E0
6.732381365E0,5.551348329E-1,6.688537598E0,5.367101192E0
6.751620427E0,8.237292171E-1,6.649653912E0,5.207380295E0
6.770859490E0,8.638089895E-1,6.556334019E0,5.170889854E0
