"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.248267984E1,-5.234299600E-2,7.369893551E0,6.516254425E0
1.253077807E1,-1.585244983E-1,7.332805157E0,6.672685146E0
1.257887640E1,-1.474576890E-1,7.375277519E0,6.537789822E0
1.262697463E1,-1.713859290E-1,7.345666409E0,6.461817741E0
1.267507296E1,-1.010967568E-1,7.363313675E0,6.534499645E0
1.272317130E1,-1.256231871E-2,7.359724045E0,6.541976929E0
1.277126963E1,-6.520441920E-2,7.302296638E0,6.656234264E0
1.281936786E1,-1.151545867E-1,7.327421188E0,6.637690067E0
1.286746619E1,-1.740778536E-1,7.336693287E0,6.605386734E0
1.291556453E1,-9.631111473E-2,7.350451946E0,6.434000969E0
1.296366276E1,-1.360917836E-1,7.344470024E0,6.522834301E0
1.301176109E1,-1.046859920E-1,7.319046497E0,6.612266064E0
1.305985942E1,-9.631111473E-2,7.366603374E0,6.600003242E0
1.310795765E1,-7.357929647E-2,7.339086056E0,6.556932449E0
1.315605598E1,-9.302098304E-2,7.360023499E0,6.519843578E0
1.320415432E1,-9.750752151E-2,7.306783199E0,6.588637352E0
1.325225265E1,-5.084748194E-2,7.339385033E0,6.611967087E0
1.330035088E1,-1.064806059E-1,7.345965385E0,6.549155712E0
1.334844921E1,-1.079761237E-1,7.332206726E0,6.737590313E0
1.339654755E1,-9.810572863E-2,7.300202847E0,6.735496521E0
1.344464588E1,-4.815555736E-2,7.348657608E0,6.369095802E0
1.349274411E1,-1.262213886E-1,7.330711365E0,6.568298340E0
1.354084244E1,-7.208377868E-2,7.335795879E0,6.424130440E0
1.358894078E1,-1.543370634E-1,7.324429989E0,6.602993965E0
1.363703911E1,-9.332008660E-2,7.346563816E0,6.603592396E0
1.368513734E1,-1.372881979E-1,7.284051418E0,6.762415886E0
1.373323567E1,-7.896314561E-2,7.332805157E0,6.587739944E0
1.378133401E1,-8.524430543E-2,7.339684486E0,6.555436611E0
1.382943234E1,6.580262445E-3,7.356134892E0,6.509075642E0
1.387753067E1,-9.960123897E-2,7.333403111E0,6.511169434E0
1.392562890E1,-1.163510010E-1,7.315456867E0,6.540182590E0
1.397372724E1,-3.050848842E-2,7.289434910E0,6.628716946E0
1.402182557E1,8.973085321E-3,7.306184769E0,6.602993965E0
1.406992390E1,8.793623000E-2,7.304689407E0,6.603592396E0
1.411802224E1,-1.130608693E-1,7.301698208E0,6.761518478E0
1.416612057E1,-7.806584239E-2,7.357331276E0,6.649354935E0
1.421421880E1,-9.272187948E-2,7.304390430E0,6.437291145E0
1.426231713E1,-3.499503061E-2,7.256234646E0,6.623332977E0
1.431041546E1,-3.559323773E-2,7.250850677E0,6.677171707E0
1.435851380E1,-5.742774159E-2,7.348956585E0,6.553941250E0
1.440661213E1,-1.058823988E-1,7.339385033E0,6.581758022E0
1.445471046E1,-1.127617657E-1,7.313064098E0,6.656533718E0
1.450280869E1,-5.473581702E-2,7.275975227E0,6.626623154E0
1.455090703E1,1.013958603E-1,7.258926392E0,6.442375660E0
1.459900536E1,-7.716853172E-2,7.302894592E0,6.580860615E0
1.464710369E1,-7.477570791E-3,7.349853992E0,6.598507404E0
1.469520203E1,-1.256231815E-1,7.330711365E0,6.760621071E0
1.474330036E1,-5.443671346E-2,7.334898949E0,6.541378975E0
1.479139869E1,-5.563312769E-2,7.270292282E0,6.704390049E0
1.483949703E1,2.452643216E-2,7.278667450E0,6.584449768E0
1.488759526E1,2.991028305E-4,7.305287361E0,6.634698868E0
1.493569359E1,-7.178467698E-3,7.302296638E0,6.592525482E0
1.498379192E1,-5.982056609E-4,7.297810078E0,6.611967087E0
1.503189026E1,5.084747914E-3,7.289734364E0,6.627520561E0
1.507998859E1,-1.615155302E-2,7.282855034E0,6.657430649E0
1.512808692E1,-3.320041299E-2,7.290631294E0,6.500401974E0
1.517618526E1,-7.088737190E-2,7.286743164E0,6.615556240E0
1.522428359E1,-3.589233849E-3,7.343572617E0,6.532704830E0
1.527238192E1,1.136590727E-2,7.243373394E0,6.701398849E0
1.532048026E1,2.452643216E-2,7.253243446E0,6.643373013E0
1.536857848E1,-2.871387079E-2,7.298109055E0,6.665506363E0
1.541667682E1,-3.379862010E-2,7.328617573E0,6.635596275E0
1.546477515E1,-7.776673883E-2,7.328916550E0,6.652944088E0
1.551287349E1,-2.392822690E-2,7.304390430E0,6.628716946E0
1.556097182E1,-2.811566554E-2,7.264310360E0,6.686443806E0
1.560907015E1,5.264209956E-2,7.301100254E0,6.456134796E0
1.565716849E1,-7.178467698E-3,7.297810078E0,6.679863453E0
1.570526682E1,-1.944168471E-2,7.299903870E0,6.710970402E0
1.575336515E1,1.016949639E-1,7.328318596E0,6.511468410E0
1.580146349E1,5.772684515E-2,7.286743164E0,6.597012043E0
1.584956182E1,-5.383851007E-3,7.290631294E0,6.675077915E0
1.589766015E1,-6.610172242E-2,7.305885792E0,6.557829380E0
1.594575838E1,-2.392822690E-2,7.326224804E0,6.644270420E0
1.599385671E1,-4.606183618E-2,7.332505703E0,6.552146435E0
1.604195505E1,3.290131222E-3,7.304689407E0,6.512664795E0
1.609005338E1,-2.901297435E-2,7.316653252E0,6.652944088E0
1.613815171E1,3.409772366E-2,7.309175968E0,6.512365818E0
1.618625005E1,8.673982322E-2,7.299305439E0,6.501897335E0
1.623434838E1,3.260220960E-2,7.280761242E0,6.657430649E0
1.628244671E1,1.734796353E-2,7.357630730E0,6.607480526E0
1.633054505E1,-1.289133132E-1,7.367800236E0,6.641279221E0
1.637864338E1,-1.354935765E-1,7.360920429E0,6.626922131E0
1.642674171E1,-8.554340899E-2,7.342077255E0,6.554838657E0
1.647484005E1,-7.238288224E-2,7.307680130E0,6.565008163E0
1.652293838E1,8.644071966E-2,7.267600536E0,6.587141514E0
1.657103671E1,7.328019291E-2,7.316354275E0,6.586543560E0
1.661913494E1,8.225327730E-2,7.362416267E0,6.491428852E0
1.666723328E1,-9.062815458E-2,7.313064098E0,6.826723099E0
1.671533161E1,-2.931207791E-2,7.336992264E0,6.685247421E0
1.676342994E1,-4.366901144E-2,7.325028419E0,6.505187511E0
1.681152828E1,7.686942816E-2,7.275377274E0,6.493522644E0
1.685962661E1,1.154536903E-1,7.303194046E0,6.412764549E0
1.690772494E1,6.370890141E-2,7.303493023E0,6.618547440E0
1.695582328E1,-1.286142133E-2,7.229016304E0,6.885945320E0
1.700392161E1,7.477571070E-2,7.290332317E0,6.692126751E0
1.705201994E1,-2.123630047E-2,7.323832035E0,6.581159592E0
1.710011828E1,7.776673418E-3,7.364809036E0,6.423233509E0
