"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.878285344E1,8.015955985E-2,5.657230854E0,8.056633949E0
1.883285344E1,8.075776696E-2,5.740979671E0,8.133204460E0
1.888285344E1,8.973085321E-3,5.708676815E0,8.017151833E0
1.893285344E1,8.853443712E-2,5.758327484E0,7.975277901E0
1.898285344E1,8.853443712E-2,5.758327484E0,7.975277901E0
1.903285344E1,8.853443712E-2,5.758327484E0,7.975277901E0
1.908285344E1,1.459621787E-1,5.675775528E0,8.129016876E0
1.913285344E1,8.255238086E-2,5.745765209E0,8.013563156E0
1.918285344E1,6.580262631E-2,5.734997749E0,7.974081516E0
1.923285344E1,-7.776673418E-3,5.786443233E0,7.911269665E0
1.928285344E1,1.393819153E-1,5.693721294E0,8.108677864E0
1.933285344E1,2.183450609E-1,5.711667538E0,7.982456207E0
1.938285344E1,1.950150430E-1,5.726024628E0,8.023134232E0
1.943285344E1,6.640082598E-2,5.718247890E0,7.996214867E0
1.948285344E1,9.810572863E-2,5.783452511E0,8.050651550E0
1.953285344E1,7.836493850E-2,5.719444275E0,7.940581799E0
1.958285344E1,8.793623000E-2,5.742176056E0,7.947162151E0
1.963285344E1,1.920240223E-1,5.681159019E0,8.115258217E0
1.968285344E1,1.453639716E-1,5.737390518E0,8.029116631E0
1.973285344E1,1.411765367E-1,5.725426197E0,8.069794655E0
1.978285344E1,1.668993831E-1,5.772086620E0,7.914260864E0
1.983285344E1,4.546362907E-2,5.752345562E0,8.032705307E0
1.988285344E1,1.543370634E-1,5.733202934E0,8.120043755E0
1.993285344E1,8.434699476E-2,5.709873199E0,7.954938889E0
1.998285344E1,1.824527234E-1,5.758327484E0,7.985447407E0
2.003285344E1,1.423729509E-1,5.744568825E0,8.088338852E0
2.008285344E1,1.423729509E-1,5.744568825E0,8.088338852E0
2.013285344E1,1.423729509E-1,5.744568825E0,8.088338852E0
2.018285344E1,1.423729509E-1,5.744568825E0,8.088338852E0
2.023285344E1,1.878365725E-1,5.724828243E0,8.048258781E0
2.028285344E1,2.117647976E-1,5.711069584E0,8.002795219E0
2.033285344E1,1.250249892E-1,5.767300606E0,7.905886173E0
2.038285344E1,2.111666054E-1,5.711069584E0,7.899903774E0
2.043285344E1,1.070788130E-1,5.736792088E0,8.166105270E0
2.048285344E1,1.076770201E-1,5.684150219E0,8.102695465E0
2.053285344E1,1.597209126E-1,5.703292847E0,8.049455643E0
2.058285344E1,9.990034252E-2,5.744568825E0,7.981259823E0
2.063285344E1,9.990034252E-2,5.744568825E0,7.981259823E0
2.068285344E1,7.417750359E-2,5.745765209E0,8.026124954E0
2.073285344E1,1.298106313E-1,5.734997749E0,7.959126472E0
2.078285344E1,8.913264424E-2,5.723033428E0,8.004590034E0
2.083285344E1,1.339980662E-1,5.717051506E0,8.065607071E0
2.088285344E1,1.268195957E-1,5.649454117E0,8.127820015E0
2.093285344E1,7.417750359E-2,5.709274769E0,7.926823139E0
2.098285344E1,7.417750359E-2,5.709274769E0,7.926823139E0
2.103285344E1,7.417750359E-2,5.709274769E0,7.926823139E0
2.108285344E1,7.417750359E-2,5.709274769E0,7.926823139E0
2.113285344E1,1.238285750E-1,5.758327484E0,8.051250458E0
2.118285344E1,2.153540403E-2,5.712265968E0,7.984251022E0
2.123285344E1,8.793623000E-2,5.748157978E0,7.905287743E0
2.128285344E1,1.788634956E-1,5.717649937E0,8.067999840E0
2.133285344E1,2.333002165E-2,5.732604980E0,8.035696983E0
2.138285344E1,1.046859920E-1,5.729613781E0,8.125427246E0
2.143285344E1,1.537388563E-1,5.682355404E0,7.913064480E0
2.148285344E1,8.673982322E-2,5.712265968E0,8.008777618E0
2.153285344E1,4.426721856E-2,5.738586903E0,8.066205025E0
2.158285344E1,1.016949583E-2,5.714658737E0,8.111668587E0
2.163285344E1,1.980060786E-1,5.756533146E0,7.840681553E0
2.168285344E1,1.333998591E-1,5.660820007E0,8.032107353E0
2.173285344E1,9.571290761E-2,5.743970871E0,8.117053032E0
2.178285344E1,-9.571290575E-3,5.756533146E0,8.118248940E0
2.183285344E1,3.708875179E-2,5.727818966E0,7.923233986E0
2.188285344E1,-5.443671346E-2,5.737390518E0,8.008178711E0
2.193285344E1,1.136590764E-1,5.666802406E0,8.195417404E0
2.198285344E1,1.980060786E-1,5.649454117E0,8.097909927E0
2.203285344E1,1.501496136E-1,5.737988472E0,7.975875854E0
2.208285344E1,1.064806059E-1,5.703890800E0,8.026723862E0
2.213285344E1,4.187439755E-2,5.761318684E0,7.965706348E0
2.218285344E1,-1.794617064E-2,5.716453075E0,8.088936806E0
2.223285344E1,1.734796464E-1,5.718247890E0,7.942376614E0
2.228285344E1,4.845465720E-2,5.721239090E0,8.097311974E0
2.233285344E1,1.196411327E-1,5.679364681E0,8.102695465E0
2.238285344E1,1.016949639E-1,5.712863922E0,8.002197266E0
2.243285344E1,7.776673883E-2,5.709873199E0,8.032705307E0
2.248285344E1,1.136590764E-1,5.747560024E0,7.972885132E0
2.253285344E1,6.759724021E-2,5.706283569E0,8.085946083E0
2.258285344E1,1.411765367E-1,5.699105263E0,8.011768341E0
2.263285344E1,1.082752272E-1,5.706283569E0,8.051250458E0
2.268285344E1,1.064806059E-1,5.721239090E0,7.987242222E0
2.273285344E1,1.034895778E-1,5.711667538E0,8.051848412E0
2.278285344E1,1.405783296E-1,5.705087185E0,7.995616913E0
2.283285344E1,3.110669367E-2,5.745167255E0,8.035696983E0
2.288285344E1,9.451649338E-2,5.734399319E0,8.050053596E0
2.293285344E1,6.640082598E-2,5.709274769E0,7.978867054E0
2.298285344E1,2.333002165E-2,5.727818966E0,7.962117195E0
2.303285344E1,1.328016520E-1,5.681757450E0,8.182256699E0
2.308285344E1,8.195417374E-2,5.668596745E0,8.040482521E0
2.313285344E1,1.088734269E-1,5.723033428E0,7.957930088E0
2.318285344E1,1.262213886E-1,5.706283569E0,8.014759064E0
2.323285344E1,1.172483116E-1,5.687141418E0,8.083553314E0
2.328285344E1,1.172483116E-1,5.687141418E0,8.083553314E0
2.333285344E1,1.507478207E-1,5.718247890E0,8.016553879E0
2.338285344E1,7.836493850E-2,5.738586903E0,7.947760582E0
2.343285344E1,1.483550072E-1,5.717649937E0,8.054839134E0
2.348285344E1,1.226321608E-1,5.679962635E0,7.987242222E0
2.353285344E1,4.426721856E-2,5.738586903E0,8.094321251E0
2.358285344E1,8.554340899E-2,5.724828243E0,8.018348694E0
2.363285344E1,8.434699476E-2,5.717649937E0,7.930412292E0
2.368285344E1,1.262213886E-1,5.719444275E0,7.999206066E0
2.373285344E1,7.238288224E-2,5.682355404E0,8.128418922E0
2.378285344E1,2.602194548E-1,5.665606022E0,8.062017441E0
2.383285344E1,2.273181528E-1,5.700900078E0,7.980661869E0
2.388285344E1,4.546362907E-2,5.723631859E0,7.960920811E0
2.393285344E1,1.070788130E-1,5.734997749E0,8.028517723E0
2.398285344E1,7.238288224E-2,5.693721294E0,8.115856171E0
